danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Mood Label
0.249,0.228,0,-15.678,1,0.0388,0.13,0.846,0.276,0.139,102.592,169067,enigmatic
0.182,0.0784,2,-26.043,1,0.0389,0.478,0.00263,0.137,0.0817,106.712,534400,enigmatic
0.463,0.273,9,-18.639,1,0.0358,0.361,0.943,0.165,0.521,109.23,109933,enigmatic
0.164,0.0719,2,-18.535,1,0.0355,0.969,0.317,0.0788,0.0784,74.352,293533,enigmatic
0.149,0.0988,3,-24.512,1,0.0409,0.711,0.938,0.108,0.146,136.401,137773,enigmatic
0.0753,0.163,0,-17.328,1,0.0402,0.89,0.936,0.115,0.0395,76.405,219600,enigmatic
0.304,0.0116,7,-33.19,0,0.0337,0.983,0.963,0.104,0.0364,77.84,246627,enigmatic
0.179,0.187,5,-20.555,0,0.0398,0.908,0.978,0.105,0.0503,115.163,156933,enigmatic
0.123,0.194,3,-12.089,0,0.0456,0.979,0.886,0.0992,0.0387,169.486,186733,enigmatic
0.372,0.485,0,-14.809,1,0.0445,0.0407,0.935,0.122,0.107,104.851,135312,enigmatic
0.407,0.433,2,-15.331,0,0.0376,0.467,0.936,0.0663,0.0779,119.921,155827,enigmatic
0.0992,0.226,9,-14.84,0,0.0339,0.937,0.903,0.183,0.0605,79.518,256493,enigmatic
0.204,0.0522,0,-26.234,1,0.0404,0.968,0.937,0.0799,0.0345,78.274,123533,enigmatic
0.27,0.399,2,-16.951,0,0.0846,0.185,0.813,0.158,0.0335,85.297,118413,enigmatic
0.0808,0.00285,4,-41.786,0,0.0402,0.984,0.666,0.0736,0.0375,64.48,305840,enigmatic
0.0938,0.158,9,-18.539,1,0.0495,0.949,0.921,0.111,0.0347,86.925,235587,enigmatic
0.139,0.221,0,-16.382,1,0.0374,0.761,0.892,0.318,0.063,78.841,244133,enigmatic
0.175,0.171,4,-19.589,0,0.0411,0.97,0.9,0.208,0.0746,122.278,128320,enigmatic
0.252,0.144,10,-17.657,1,0.0283,0.758,0.901,0.0852,0.0677,182.776,310267,enigmatic
0.279,0.102,2,-19.933,1,0.0365,0.852,0.904,0.216,0.0599,138.581,280560,enigmatic
0.826,0.553,1,-10.121,0,0.234,0.163,4.12E-05,0.135,0.4,140.037,168228,epic
0.569,0.882,3,-2.777,0,0.06,0.0316,0,0.142,0.201,148.038,191701,epic
0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07E-06,0.371,0.304,128.04,175238,epic
0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,131013,epic
0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,198938,epic
0.775,0.677,8,-4.703,0,0.0442,0.0313,0.00517,0.112,0.698,124.011,189357,epic
0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68E-05,0.0933,0.425,92.005,178567,epic
0.877,0.803,9,-3.195,1,0.0507,0.734,0.056,0.087,0.795,130.028,61673,epic
0.529,0.673,0,-4.711,1,0.175,0.000307,2.41E-06,0.093,0.366,165.921,218365,epic
0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24E-05,0.543,0.644,118.051,215627,epic
0.773,0.892,1,-3.732,0,0.0483,0.166,3.10E-06,0.429,0.842,130.007,222462,epic
0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717,epic
0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,140018,epic
0.593,0.641,7,-12.727,0,0.0992,0.426,0.901,0.122,0.147,175.014,142839,epic
0.561,0.52,11,-9.342,0,0.244,0.0503,1.86E-06,0.355,0.424,153.15,239360,epic
0.538,0.742,2,-5.355,1,0.114,0.138,4.67E-05,0.0934,0.25,96.107,272373,epic
0.712,0.972,10,-0.514,1,0.112,0.00547,7.06E-05,0.128,0.568,119.966,145000,epic
0.911,0.573,6,-7.43,1,0.288,0.38,0,0.403,0.972,140.04,97393,epic
0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,epic
0.823,0.388,1,-10.867,1,0.491,0.0187,0,0.0876,0.507,154.569,139326,epic
0.767,0.83,7,-8.78,1,0.206,0.209,0.836,0.0582,0.187,75.023,139300,epic
0.534,0.855,1,-4.923,0,0.183,0.0607,0.000263,0.346,0.42,122.06,153443,epic
0.874,0.869,1,-5.996,0,0.0315,0.00116,0.00238,0.164,0.726,126.027,102861,epic
0.892,0.662,8,-3.894,1,0.162,0.169,1.24E-06,0.363,0.607,93.976,227013,epic
0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,123891,epic
0.607,0.767,5,-6.069,0,0.0474,0.118,0,0.122,0.662,123.998,148629,epic
0.847,0.69,1,-7.877,0,0.0493,0.0127,6.00E-05,0.0526,0.692,125.004,186662,epic
0.954,0.516,6,-5.817,1,0.16,0.03,7.54E-06,0.0504,0.624,105.001,139560,epic
0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98E-05,0.128,0.442,130.001,287120,epic
0.898,0.676,9,-5.196,1,0.187,0.14,0,0.101,0.742,147.991,172125,epic
0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,195906,epic
0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83E-06,0.21,0.0605,76.469,175721,epic
0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,210800,epic
0.877,0.517,2,-5.426,0,0.0706,0.217,0,0.143,0.255,119.996,162053,epic
0.735,0.449,2,-9.933,0,0.383,0.859,0,0.213,0.514,146.016,175890,epic
0.845,0.797,1,-4.984,1,0.139,0.0582,5.57E-06,0.167,0.422,121.985,151475,epic
0.696,0.793,8,-5.733,1,0.097,0.0683,3.78E-06,0.18,0.698,120.003,172253,epic
0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653,epic
0.795,0.684,11,-3.971,0,0.0419,0.0225,0,0.658,0.419,114.011,237895,epic
0.849,0.424,5,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887,242966,epic
0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,216387,epic
0.553,0.659,8,-7.295,1,0.0391,0.0027,0,0.105,0.105,120.146,234000,epic
0.701,0.716,7,-3.671,0,0.0361,0.174,0,0.324,0.732,91.007,140533,epic
0.687,0.818,0,-4.221,1,0.0778,0.0112,0,0.248,0.886,125.952,165753,epic
0.616,0.841,5,-4.779,0,0.076,0.0559,0.00217,0.417,0.714,110.029,154561,epic
0.731,0.573,4,-10.059,0,0.0544,0.401,5.22E-05,0.113,0.145,109.928,205090,epic
0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026,142677,epic
0.883,0.657,8,-5.748,1,0.305,0.0603,0,0.128,0.284,124.992,172933,epic
0.713,0.703,8,-5.769,1,0.194,0.298,0,0.321,0.576,123.06,255693,epic
0.737,0.899,6,-3.189,0,0.0556,0.0329,0,0.186,0.358,125.992,201146,epic
0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995,212000,epic
0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23E-05,0.0901,0.464,117.953,164819,epic
0.664,0.609,1,-6.509,1,0.0707,0.304,0,0.0926,0.194,130.041,210560,epic
0.79,0.67,1,-5.527,1,0.105,0.377,2.32E-06,0.119,0.408,139.956,195950,epic
0.67,0.896,1,-4.673,1,0.058,0.0342,3.21E-05,0.344,0.403,101.216,160000,epic
0.755,0.676,5,-7.349,1,0.0377,0.0418,0.00176,0.204,0.461,123.98,209136,epic
0.843,0.669,1,-4.105,0,0.0639,0.0846,1.28E-05,0.105,0.435,136.979,238253,epic
0.621,0.785,6,-4.499,1,0.11,0.0165,5.92E-06,0.0512,0.779,123.96,155253,epic
0.801,0.601,8,-7.574,0,0.255,0.0777,3.23E-05,0.145,0.74,159.969,182907,epic
0.593,0.503,8,-6.725,0,0.22,0.293,0,0.405,0.71,178.781,137704,epic
0.841,0.593,1,-7.846,1,0.0379,0.418,0,0.124,0.808,124.917,162803,epic
0.454,0.931,11,-4.083,1,0.0321,0.238,0.000623,0.289,0.462,137.945,160530,epic
0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983,238614,epic
0.604,0.601,2,-7.887,0,0.0628,0.15,0.000579,0.168,0.156,139.88,164629,epic
0.848,0.821,2,-5.408,0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,157445,epic
0.834,0.828,11,-2.657,0,0.0452,0.21,5.91E-06,0.103,0.58,102.019,195294,epic
0.763,0.782,7,-4.541,0,0.0346,0.182,7.08E-06,0.293,0.502,127.034,177689,epic
0.768,0.74,0,-6.595,1,0.336,0.696,6.81E-06,0.23,0.532,141.059,129362,epic
0.795,0.845,9,-3.809,0,0.135,0.105,1.14E-05,0.172,0.769,170.023,254920,epic
0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97,162604,epic
0.772,0.878,2,-4.22,1,0.324,0.0301,2.18E-06,0.251,0.305,61.311,135747,epic
0.665,0.738,0,-5.931,0,0.0379,0.0124,0.00598,0.0923,0.0389,125.037,214071,epic
0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485,epic
0.69,0.84,11,-6.947,1,0.0573,0.0268,3.06E-05,0.363,0.493,129.935,191365,epic
0.696,0.733,1,-6.181,1,0.256,0.115,0,0.111,0.292,98.355,214445,epic
0.56,0.832,9,-6.432,0,0.0363,0.00953,0.00541,0.546,0.0818,126,236000,epic
0.561,0.928,6,-5.812,0,0.0371,0.087,0.894,0.332,0.182,125.988,171429,epic
0.794,0.719,0,-7.227,1,0.0761,0.0119,0,0.276,0.69,90.016,186964,epic
0.803,0.597,11,-6.035,0,0.141,0.000619,4.50E-06,0.323,0.331,136.008,257605,epic
0.612,0.862,8,-2.903,1,0.037,0.041,0,0.0907,0.354,123.849,160766,epic
0.909,0.824,1,-4.627,1,0.0797,0.0777,0.00387,0.0638,0.585,109.97,322347,epic
0.706,0.675,1,-6.351,0,0.237,0.177,0,0.0852,0.516,159.961,188596,epic
0.683,0.932,8,-10.402,1,0.0513,0.0389,0.605,0.0615,0.553,125.002,235786,epic
0.662,0.848,0,-4.338,0,0.0346,0.0932,7.62E-06,0.241,0.773,123.041,171778,epic
0.513,0.661,5,-6.419,1,0.24,0.161,0,0.246,0.179,94.791,209213,epic
0.778,0.695,4,-6.865,0,0.0913,0.175,0,0.15,0.472,149.996,132780,epic
0.685,0.886,0,-4.179,1,0.034,0.028,0,0.481,0.615,125.034,161267,epic
0.783,0.768,11,-8.471,0,0.157,0.00198,0,0.171,0.267,143.071,124806,epic
0.849,0.581,6,-5.464,0,0.261,0.0178,0,0.092,0.274,142.015,217610,epic
0.688,0.647,2,-7.258,1,0.19,0.00815,1.65E-05,0.095,0.195,88.834,164580,epic
0.79,0.764,4,-4.685,0,0.0737,0.0836,0.0871,0.132,0.473,123.046,185366,epic
0.767,0.862,5,-5.464,0,0.0606,0.14,0.0092,0.252,0.509,128.039,166570,epic
0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,136267,epic
0.623,0.727,11,-5.57,0,0.0562,0.184,2.02E-05,0.309,0.4,125.975,165800,epic
